05/11/2019 23:00:7,203,213,62,98,96
05/11/2019 23:15:6,174,182,65,104,102
05/11/2019 23:30:5,138399,144925,6,9,9
05/11/2019 23:45:6,197,207,62,99,97
06/11/2019 00:00:12,229,240,59,94,92
06/11/2019 00:15:6,220,231,60,95,93
06/11/2019 00:30:6,200,210,62,98,97
06/11/2019 00:45:6,192,201,63,100,98
06/11/2019 01:00:6,6,6,219,348,343
06/11/2019 01:15:5,544307,569970,4,6,6
06/11/2019 01:30:6,214,225,60,96,94
06/11/2019 01:45:6,242,253,58,92,90
06/11/2019 02:00:7,7,8,205,325,320
06/11/2019 02:15:5,229,240,59,94,92
06/11/2019 02:30:6,242,253,58,92,90
06/11/2019 02:45:6,226,237,59,94,93
06/11/2019 03:00:6,200,210,62,98,97
06/11/2019 03:15:5,135,141,71,113,112
06/11/2019 03:30:6,129,135,73,115,113
06/11/2019 03:45:6,236375,247520,5,8,8
06/11/2019 04:00:11,157,164,68,107,106
06/11/2019 04:15:6,139,146,71,112,110
06/11/2019 04:30:5,85471,89500,7,11,11
06/11/2019 04:45:6,121,127,74,118,116
06/11/2019 05:00:6,112,117,77,122,120
06/11/2019 05:15:5,123,129,74,117,115
06/11/2019 05:30:6,137,143,71,113,111
06/11/2019 05:45:6,157,164,68,107,106
06/11/2019 06:00:6,96755,101317,7,11,10
06/11/2019 06:15:6,152,160,68,109,107
06/11/2019 06:30:6,176,185,65,103,101
06/11/2019 06:45:6,203,213,62,98,96
06/11/2019 07:00:7,217,228,60,96,94
06/11/2019 07:15:5,195,204,63,99,98
06/11/2019 07:30:6,192,201,63,100,98
06/11/2019 07:45:11,197,207,62,99,97
06/11/2019 08:00:6,174,182,65,104,102
06/11/2019 08:15:6,197,207,62,99,97
06/11/2019 08:30:6,133,139,72,114,112
06/11/2019 08:45:6,181,190,64,102,100
06/11/2019 09:00:7,212,222,61,96,95
06/11/2019 09:15:6,437386,458008,4,6,6
06/11/2019 09:30:6,226,237,59,94,93
06/11/2019 09:45:6,407,426,48,76,75
06/11/2019 10:00:7,407,426,48,76,75
06/11/2019 10:15:7,526023,550823,4,6,6
06/11/2019 10:30:6,362,379,50,79,78
06/11/2019 10:45:6,168090,176015,5,9,9
06/11/2019 11:00:7,417,436,48,76,74
06/11/2019 11:15:6,362,379,50,79,78
06/11/2019 11:30:11,362,379,50,79,78
06/11/2019 11:45:6,12,13,170,270,265
06/11/2019 12:00:7,366,383,50,79,78
06/11/2019 12:15:6,402,421,48,76,75
06/11/2019 12:30:6,421,441,47,75,74
06/11/2019 12:45:6,398,416,48,77,76
06/11/2019 13:00:7,173057,181217,5,9,8
06/11/2019 13:15:6,375,393,49,78,77
06/11/2019 13:30:6,357,374,50,80,78
06/11/2019 13:45:6,379,397,49,78,77
06/11/2019 14:00:7,341,357,51,81,80
06/11/2019 14:15:6,170553,178595,5,9,8
06/11/2019 14:30:6,362,379,50,79,78
06/11/2019 14:45:6,353,370,51,80,79
